[17:21:29] [main/INFO]: infotest
[17:21:29] [main/ERROR]: errortest
[17:27:48] [main/INFO]: Starting...
[17:29:12] [main/INFO]: Starting...
[17:29:12] [main/INFO]: Init...
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:32] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:33] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:34] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:35] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:02] [main/INFO]: Starting...
[17:31:02] [main/INFO]: Init...
[17:31:02] [main/INFO]: Init JFrame...
[17:31:02] [main/INFO]: Init Event...
[17:31:02] [main/INFO]: Init Move...
[17:31:02] [main/INFO]: Init done!
[17:31:51] [main/INFO]: Starting...
[17:31:51] [main/INFO]: Init...
[17:31:51] [main/INFO]: Init JFrame...
[17:31:51] [main/INFO]: Init Event...
[17:31:51] [main/INFO]: Init Move...
[17:31:51] [main/INFO]: Init Done!
[17:31:57] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:57] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:57] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:57] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:57] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:57] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:57] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:57] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:57] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:58] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:58] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:58] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:58] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:58] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:58] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:58] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:58] [AWT-EventQueue-0/INFO]: Player Died!
[17:31:58] [AWT-EventQueue-0/INFO]: Player Died!
